0,0,7.77111e-18,4.90613e-15
0.19509,0,2.32869e-15,2.82843
0.382683,0,-1.14122e-15,-2.66963e-15
0.55557,0,2.24026e-16,1.04563e-15
0.707107,0,2.41335e-15,4.31245e-16
0.83147,0,6.94691e-18,-1.49426e-15
0.92388,0,-1.22489e-15,1.32549e-15
0.980785,0,1.95121e-15,7.81749e-16
1,0,-5.48531e-17,-5.38592e-16
0.980785,0,-2.49799e-16,-1.13482e-16
0.92388,0,-1.00981e-15,-9.41541e-16
0.83147,0,6.31642e-16,9.73441e-16
0.707107,0,2.21871e-15,-7.17781e-16
0.55557,0,2.00585e-16,-1.1501e-15
0.382683,0,-8.37356e-16,2.40328e-15
0.19509,0,2.21989e-15,0
1.22465e-16,0,-4.774e-17,-3.3554e-15
-0.19509,0,-2.00118e-15,8.88178e-16
-0.382683,0,8.00368e-16,2.498e-15
-0.55557,0,9.71037e-18,-1.03834e-15
-0.707107,0,-2.04139e-15,-5.43118e-16
-0.83147,0,4.54384e-16,1.44747e-16
-0.92388,0,1.35978e-15,-8.7909e-16
-0.980785,0,1.82244e-15,-1.00379e-15
-1,0,7.03953e-17,-3.99815e-16
-0.980785,0,-4.2189e-16,1.88984e-15
-0.92388,0,1.31479e-15,1.22419e-15
-0.83147,0,7.97752e-16,-9.8073e-16
-0.707107,0,-2.39305e-15,2.1733e-16
-0.55557,0,1.04129e-16,2.49962e-15
-0.382683,0,9.11532e-16,-2.9607e-15
-0.19509,0,-9.82602e-15,-2.82843
Magnitude
4.90614e-15
2.82843
2.90333e-15
1.06936e-15
2.45158e-15
1.49428e-15
1.80479e-15
2.10199e-15
5.41379e-16
2.74368e-16
1.38066e-15
1.16041e-15
2.33192e-15
1.16746e-15
2.54498e-15
2.21989e-15
3.35574e-15
2.18942e-15
2.62309e-15
1.03839e-15
2.11241e-15
4.76882e-16
1.6192e-15
2.0806e-15
4.05965e-16
1.93636e-15
1.79648e-15
1.26422e-15
2.4029e-15
2.50179e-15
3.09784e-15
2.82843
